PV;Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
246;"Investeringsprogramma wegen - Studie ring om Eeklo";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
245;"Investeringsprogramma wegen - Kruispunt Wondelgemse Meersen Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
244;"Investeringsprogramma wegen - Studie N456 Lembeke";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
243;"Investeringsprogramma wegen - Brug Handelsdok Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
242;"Investeringsprogamma wegen - Studie N455 Sint-Laureins";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
241;"Investeringsprogramma wegen - Ontsluiting UCO-site Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
240;"Investeringsprogramma wegen - N449 Wachtebeke";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
239;"Investeringsprogramma wegen - N448 Evergem";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
238;"Investeirngsprogramma wegen - Geluidswerende schermen R4 Evergem";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
237;"Investeringsprogramma wegen - Omlegging N437a Hansbeke";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
236;"Investeringsprogramma wegen - Kloosterstraat Knesselare";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
